day(d),DNI(kWh/m2/day),Tamb(°C),mdotDemand(kg/s/day),Tdemand(°C),mdotSF(kg/s/day),TSF(°C),mdotAux(kg/s/day),qBoiler(MWh/day),qAbs(kWh/m2/day),Mstor(t),Tstor(°C),mdotStToBoiler(kg/s/day),mdotSFToBoiler(kg/s/day),mdotSFToSt(kg/s/day) 
0,0.99824,11.6933,999,350,2.52584,350,954.849,350.298,0.385175,24.975,223.819,41.625,2.52584,0
1,3.7878,10.1492,999,350,160.607,350,838.393,301.821,1.44574,0,10.1492,0,160.607,0
2,6.11521,8.94458,999,350,280.43,350,718.57,258.919,2.30545,0.253398,286.318,1.68932,278.74,1.68932
3,5.04594,9.14583,999,350,202.414,350,796.586,286.771,1.79884,0,9.14583,0,202.414,0
4,0.7928,11.3167,999,350,0,-nan(ind),999,359.64,0.313612,0,11.3167,0,0,0
5,1.97192,14.2533,999,350,52.3415,350,946.659,340.797,0.760714,0,14.2533,0,52.3415,0
6,1.09902,13.4862,999,350,28.4021,350,970.598,349.415,0.414659,0,13.4862,0,28.4021,0
7,3.85156,13.5692,999,350,132.005,350,866.995,312.118,1.35545,0,13.5692,0,132.005,0
8,1.96691,11.0833,999,350,29.7211,350,969.279,348.94,0.784918,0,11.0833,0,29.7211,0
9,5.58166,9.60417,999,350,235.08,350,763.92,275.011,2.03902,0,9.60417,0,235.08,0
10,2,11.5763,999,350,89.6112,350,909.389,327.38,0.881542,0,11.5763,0,89.6112,0
11,2.99037,9.99959,999,350,141.529,350,857.471,308.689,1.3604,0,9.99959,0,141.529,0
12,6.77845,10.5146,999,350,312.921,350,686.079,246.988,2.49548,0,10.5146,0,312.921,0
13,6.67767,11.5196,999,350,307.737,350,691.263,248.855,2.4645,0,11.5196,0,307.737,0
14,5.77347,10.0813,999,350,252.154,350,746.846,268.865,2.14947,0,10.0813,0,252.154,0
15,3.7035,10.6271,999,350,154.93,350,844.07,303.865,1.52904,0,10.6271,0,154.93,0
16,3.19666,8.7125,999,350,131.771,350,867.229,312.203,1.34217,0,8.7125,0,131.771,0
17,6.04994,10.3546,999,350,270.316,350,728.684,262.326,2.31063,0,10.3546,0,270.316,0
18,5.53329,10.7712,999,350,242.734,350,756.266,272.256,2.08332,0,10.7712,0,242.734,0
19,6.94578,10.0446,999,350,333.424,350,665.576,239.607,2.68112,0,10.0446,0,333.424,0
20,6.57936,10.5625,999,350,308.949,350,690.051,248.418,2.53525,0,10.5625,0,308.949,0
21,2.27226,8.50667,999,350,40.2181,350,958.782,345.161,0.871485,0,8.50667,0,40.2181,0
22,0.32152,6.735,999,350,0,-nan(ind),999,359.64,0.156176,0,6.735,0,0,0
23,1.57365,9.95583,999,350,23.5627,350,975.437,351.157,0.516133,0,9.95583,0,23.5627,0
24,2.79367,10.3346,999,350,98.2653,350,900.735,324.264,1.18061,0,10.3346,0,98.2653,0
25,0.87548,9.94083,999,350,0.189233,350,998.811,359.572,0.318736,0,9.94083,0,0.189233,0
26,3.88116,10.5692,999,350,185.972,350,813.028,292.751,1.66662,0.0244807,111.965,0.163205,185.808,0.163205
27,4.39163,10.8771,999,350,208.765,350,790.235,284.752,1.91417,0.460986,311.536,3.07324,205.692,3.07324
28,5.54647,9.53667,999,350,261.352,350,737.648,265.553,2.25361,0,9.53667,0,261.352,0
29,5.6233,6.69959,999,350,271.905,350,727.095,261.754,2.32123,0,6.69959,0,271.905,0
30,7.24308,6.2425,999,350,378.523,350,620.477,223.372,2.94734,0,6.2425,0,378.523,0
31,7.01618,6.59583,999,350,367.7,350,631.3,227.268,2.88412,0,6.59583,0,367.7,0
32,6.91837,6.6575,999,350,365.273,350,633.727,228.142,2.86969,0,6.6575,0,365.273,0
33,5.68553,7.02625,999,350,264.998,350,734.002,264.241,2.28053,1.7053e-14,7.02625,0,264.998,1.42109e-14
34,6.86045,7.87958,999,350,368.606,350,630.394,226.942,2.88789,8.52651e-15,7.87958,1.42109e-14,368.606,0
35,6.79962,8.46125,999,350,369.795,350,629.205,226.514,2.89451,0,8.46125,0,369.795,0
36,6.32163,9.54416,999,350,348.571,350,650.429,234.453,2.76947,1.44807,336.891,9.65378,338.917,9.65378
37,6.90346,9.27333,999,350,384.717,350,614.283,221.142,2.98228,0,9.27333,0,384.717,0
38,5.26696,11.3454,999,350,268.159,350,730.841,263.103,2.29779,0,11.3454,0,268.159,0
39,6.79211,9.42625,999,350,378.179,350,620.821,223.496,2.94338,0,9.42625,0,378.179,0
40,7.03989,10.0554,999,350,402.718,350,596.282,214.662,3.08698,0,10.0554,0,402.718,0
41,5.43458,10.57,999,350,290.747,350,708.253,255.15,2.36193,0.123575,241.901,0.823831,289.924,0.823831
42,7.11935,10.6521,999,350,416.915,350,582.085,209.772,3.17048,0.182441,198.841,0.942975,415.972,0.942975
43,1.97011,10.2612,999,350,68.8184,350,930.182,334.865,0.879392,2.98428e-14,10.2612,0,68.8184,1.42109e-14
44,3.81329,9.75375,999,350,178.426,350,820.574,295.407,1.62725,8.52651e-15,9.75375,1.42109e-14,178.426,0
45,0.25293,11.4787,999,350,0,-nan(ind),999,359.64,0.159202,0,11.4787,0,0,0
46,2.14568,10.2279,999,350,110.982,350,888.018,319.687,1.1985,0,10.2279,0,110.982,0
47,4.39682,10.5342,999,350,236.333,350,762.667,274.56,2.01029,0,10.5342,0,236.333,0
48,7.06454,10.8567,999,350,424.79,350,574.21,206.996,3.21681,0.353236,240.973,1.25006,423.54,1.25006
49,1.11054,12.5513,999,350,26.3275,350,972.672,350.162,0.623781,0,12.5513,0,26.3275,0
50,5.69974,13.3433,999,350,352.814,350,646.186,232.888,2.79449,0.410986,307.744,2.73991,350.074,2.73991
51,6.52111,13.3796,999,350,421.484,350,577.516,207.906,3.18484,0,13.3796,0,421.484,0
52,5.46461,13.1304,999,350,335.906,350,663.094,238.807,2.69439,0.041687,153.661,0.277913,335.628,0.277913
53,7.88845,13.1288,999,350,519.269,350,479.731,173.284,3.76999,5.45819,338.207,21.8764,497.392,21.8764
54,8.01515,13.7833,999,350,535.738,350,463.262,167.51,3.86624,8.37338,336.166,24.7258,511.013,24.7258
55,7.92896,14.2367,999,350,533.874,350,465.126,168.178,3.85446,9.05004,336.883,25.595,508.279,25.595
56,7.36557,13.4742,999,350,488.435,350,510.565,184.249,3.58815,4.21322,336.729,18.6316,469.804,18.6316
57,6.02071,13.4292,999,350,388.27,350,610.73,220.316,3.02184,1.56294,330.193,10.4196,377.85,10.4196
58,6.7856,11.3558,999,350,466.169,350,532.831,192.557,3.45994,6.29679,333.686,21.8471,444.322,21.8471
59,0.77323,12.44,999,350,35.4116,350,963.588,346.892,0.453837,0,12.44,0,35.4116,0
60,0.00952,11.3504,999,350,0,-nan(ind),999,359.64,0.00626588,0,11.3504,0,0,0
61,0.45005,11.1754,999,350,9.26577,350,989.734,356.304,0.217327,0,11.1754,0,9.26577,0
62,0.27031,10.6213,999,350,0,-nan(ind),999,359.64,0.137214,0,10.6213,0,0,0
63,2.38394,12.5508,999,350,128.07,350,870.93,313.535,1.28363,0,12.5508,0,128.07,0
64,3.10737,13.04,999,350,157.959,350,841.041,302.775,1.63819,0,13.04,0,157.959,0
65,2.98294,14.2254,999,350,200.964,350,798.036,287.591,1.69565,1.81328,339.568,12.0885,188.876,12.0885
66,6.68683,15.1417,999,350,448.677,350,550.323,198.558,3.3923,3.82941,335.45,15.8588,432.818,15.8588
67,4.6494,14.7337,999,350,291.844,350,707.156,254.576,2.46523,3.63798e-15,14.7337,6.0633e-15,291.844,0
68,7.25154,14.1304,999,350,523.438,350,475.562,171.639,3.84027,3.02254,331.556,10.5619,512.876,10.5619
69,7.19733,13.9258,999,350,513.281,350,485.719,175.303,3.80538,4.17884,336.582,16.4507,496.83,16.4507
70,7.38608,14.2887,999,350,539.05,350,459.95,166.202,3.98249,5.42779,337.517,21.4124,517.637,21.4124
71,7.49837,14.7983,999,350,550.556,350,448.444,162.156,4.06223,6.8325,337.474,23.7581,526.797,23.7581
72,7.47566,15.8079,999,350,551.778,350,447.222,161.727,4.08821,8.47084,337.677,25.9891,525.789,25.9891
73,3.73313,15.8042,999,350,227.521,350,771.479,277.732,2.05643,0,15.8042,0,227.521,0
74,6.71038,16.3642,999,350,491.362,350,507.638,183.489,3.7071,10.0603,338.132,28.2156,463.146,28.2156
75,7.76075,15.3204,999,350,591.445,350,411.844,148.814,4.32458,12.9934,313.165,22.2968,564.86,26.5853
