hour(h),DNI(W/m2),Tamb(°C),mdotDemand(kg/s),Tdemand(°C),mdotSF(kg/s),TSF(°C),mdotAux(kg/s),qBoiler(MWh),qAbs(W/m2),Mstor(t),Tstor(°C),mdotStToBoiler(kg/s),mdotSFToBoiler(kg/s),mdotSFToSt(kg/s) 
0,0,10.03,0,350,0,50,0,0,0,149.85,226.85,0,0,0
1,0,10.1,0,350,0,50,0,0,0,149.85,224.816,-0,0,0
2,0,10.18,0,350,0,50,0,0,0,149.85,222.802,-0,0,0
3,0,10.26,0,350,0,50,0,0,0,149.85,220.807,-0,0,0
4,0,10.34,45,350,0,50,3.375,7.76686,0,0,218.832,41.625,0,0
5,0,10.41,45,350,0,50,45,16.2,0,0,10.41,-0,0,0
6,0,10.49,50,350,0,50,50,18,0,0,10.49,-0,0,0
7,0,10.57,70,350,0,50,70,25.2,0,0,10.57,-0,0,0
8,143,11.85,70,350,70,89.3355,0,21.8958,76.2085,0,11.85,-0,70,0
9,164.63,12.63,100,350,100,82.2186,0,32.1338,72.9627,0,12.63,-0,100,0
10,59.57,13.41,100,350,100,58.7594,0,34.9489,20.8198,0,13.41,-0,100,0
11,52.83,14.19,100,350,100,53.4106,0,35.5907,14.4399,0,14.19,-0,100,0
12,50.8,14.55,90,350,90,52.0842,0,32.1749,12.3371,0,14.55,-0,90,0
13,87.45,14.92,80,350,80,58.2177,0,28.0111,23.9025,0,14.92,-0,80,0
14,381.42,15.29,47,350,47,148.488,0,11.3653,133.307,0,15.29,-0,47,0
15,0,14.32,53,350,0,50,53,19.08,0,0,14.32,-0,0,0
16,58.54,13.34,79,350,79,61.9029,0,27.3116,31.1975,0,13.34,-0,79,0
17,0,12.37,50,350,0,50,50,18,0,0,12.37,-0,0,0
18,0,11.57,20,350,0,50,20,7.2,0,0,11.57,-0,0,0
19,0,10.78,0,350,0,50,0,0,0,0,10.78,-0,0,0
20,0,9.98,0,350,0,50,0,0,0,0,9.98,-0,0,0
21,0,9.83001,0,350,0,50,0,0,0,0,9.83001,-0,0,0
22,0,9.69,0,350,0,50,0,0,0,0,9.69,-0,0,0
23,0,9.54,0,350,0,50,0,0,0,0,9.54,-0,0,0
24,0,8.85,0,350,0,50,0,0,0,0,9.54,0,0,0
25,0,8.14999,0,350,0,50,0,0,0,0,8.14999,-0,0,0
26,0,7.45999,0,350,0,50,0,0,0,0,7.45999,-0,0,0
27,0,7.69,0,350,0,50,0,0,0,0,7.69,-0,0,0
28,0,7.92999,45,350,0,50,45,16.2,0,0,7.92999,-0,0,0
29,0,8.16,45,350,0,50,45,16.2,0,0,8.16,-0,0,0
30,0,8.92999,50,350,0,50,50,18,0,0,8.92999,-0,0,0
31,0,9.69,70,350,0,50,70,25.2,0,0,9.69,-0,0,0
32,95.61,10.46,70,350,70,74.6646,0,23.1282,50.9547,0,10.46,-0,70,0
33,131.66,11.11,100,350,100,74.2865,0,33.0856,58.3534,0,11.11,-0,100,0
34,81.14,11.76,100,350,100,61.1856,0,34.6577,28.3607,0,11.76,-0,100,0
35,28.57,12.42,100,350,100,50.7753,0,35.907,7.80988,0,12.42,-0,100,0
36,271.62,13.36,90,350,90,77.3184,0,29.4496,65.9739,0,13.36,-0,90,0
37,906.97,14.3,80,350,80,176.888,0,16.6188,247.929,0,14.3,-0,80,0
38,868.62,15.24,47,350,47,294.528,0,3.12861,303.607,0,15.24,-0,47,0
39,727.71,13.66,53,350,53,307.312,0,2.71493,322.531,0,13.66,-0,53,0
40,675.9,12.09,79,350,79,263.334,0,8.21597,360.216,0,12.09,-0,79,0
41,0,10.51,50,350,0,50,50,18,0,0,10.51,-0,0,0
42,0,9.85,20,350,0,50,20,7.2,0,0,9.85,-0,0,0
43,0,9.17999,0,350,0,50,0,0,0,0,9.17999,-0,0,0
44,0,8.52001,0,350,0,50,0,0,0,0,8.52001,-0,0,0
45,0,8.30001,0,350,0,50,0,0,0,0,8.30001,-0,0,0
46,0,8.08999,0,350,0,50,0,0,0,0,8.08999,-0,0,0
47,0,7.86999,0,350,0,50,0,0,0,0,7.86999,-0,0,0
48,0,6.99999,0,350,0,50,0,0,0,0,7.86999,0,0,0
49,0,6.14001,0,350,0,50,0,0,0,0,6.14001,-0,0,0
50,0,5.27001,0,350,0,50,0,0,0,0,5.27001,-0,0,0
51,0,5.08999,0,350,0,50,0,0,0,0,5.08999,-0,0,0
52,0,4.92001,45,350,0,50,45,16.2,0,0,4.92001,-0,0,0
53,0,4.74001,45,350,0,50,45,16.2,0,0,4.74001,-0,0,0
54,0,5.45999,50,350,0,50,50,18,0,0,5.45999,-0,0,0
55,0,6.17999,70,350,0,50,70,25.2,0,0,6.17999,-0,0,0
56,383.06,6.89999,70,350,70,162.391,0,15.7591,204.176,0,6.89999,-0,70,0
57,715.41,8.89999,100,350,100,194.119,0,18.7057,317.143,0,8.89999,-0,100,0
58,788.62,10.9,100,350,100,180.044,0,20.3947,275.733,0,10.9,-0,100,0
59,736.81,12.9,100,350,100,147.144,0,24.3427,201.512,0,12.9,-0,100,0
60,323.47,13.36,90,350,90,94.6853,0,27.574,78.6144,0,13.36,-0,90,0
61,858.33,13.83,80,350,80,172.423,0,17.0474,234.747,0,13.83,-0,80,0
62,869.28,14.29,47,350,47,293.973,0,3.15991,303.935,0,14.29,-0,47,0
63,870.31,13.51,53,350,54.6893,350,0,0,385.811,6.08156,286.318,0,53,1.68932
64,569.92,12.72,79,350,79,240.607,0,10.3704,303.775,6.08156,234.538,-0,79,0
65,0,11.94,50,350,0,50,50,18,0,6.08156,192.411,-0,0,0
66,0,10.92,20,350,0,50,20,7.2,0,6.08156,158.063,-0,0,0
67,0,9.89999,0,350,0,50,0,0,0,6.08156,130.022,-0,0,0
68,0,8.88,0,350,0,50,0,0,0,6.08156,107.096,-0,0,0
69,0,7.92999,0,350,0,50,0,0,0,6.08156,88.3281,-0,0,0
70,0,6.97,0,350,0,50,0,0,0,6.08156,72.9308,-0,0,0
71,0,6.02001,0,350,0,50,0,0,0,6.08156,60.2676,-0,0,0
72,0,5.42001,0,350,0,50,0,0,0,6.08156,60.2676,0,0,0
73,0,4.82,0,350,0,50,0,0,0,6.08156,49.7739,-0,0,0
74,0,4.22,0,350,0,50,0,0,0,6.08156,41.1527,-0,0,0
75,0,4.24001,0,350,0,50,0,0,0,6.08156,34.1668,-0,0,0
76,0,4.27001,45,350,0,50,43.3107,16.2436,0,0,28.5087,1.68932,0,0
77,0,4.29,45,350,0,50,45,16.2,0,0,4.29,-0,0,0
78,0,5.24999,50,350,0,50,50,18,0,0,5.24999,-0,0,0
79,0,6.20999,70,350,0,50,70,25.2,0,0,6.20999,-0,0,0
80,71.85,7.17001,70,350,70,67.2837,0,23.7482,38.3059,0,7.17001,-0,70,0
81,468.17,9.47,100,350,100,137.746,0,25.4705,207.615,0,9.47,-0,100,0
82,404.4,11.77,100,350,100,116.984,0,27.962,141.474,0,11.77,-0,100,0
83,844.52,14.07,100,350,100,153.051,0,23.6338,231.17,0,14.07,-0,100,0
84,832.55,14.67,90,350,90,153.278,0,21.246,202.55,0,14.67,-0,90,0
85,595.54,15.28,80,350,80,143.424,0,19.8313,163.017,0,15.28,-0,80,0
86,510.08,15.89,47,350,47,198.212,0,8.56083,178.445,0,15.89,-0,47,0
87,745.51,14.97,53,350,53,296.942,0,3.37448,330.605,0,14.97,-0,53,0
88,573.32,14.04,79,350,79,234.934,0,10.9083,305.658,0,14.04,-0,79,0
89,0,13.12,50,350,0,50,50,18,0,0,13.12,-0,0,0
90,0,11.47,20,350,0,50,20,7.2,0,0,11.47,-0,0,0
91,0,9.82,0,350,0,50,0,0,0,0,9.82,-0,0,0
92,0,8.17001,0,350,0,50,0,0,0,0,8.17001,-0,0,0
93,0,7.55999,0,350,0,50,0,0,0,0,7.55999,-0,0,0
94,0,6.95999,0,350,0,50,0,0,0,0,6.95999,-0,0,0
95,0,6.35,0,350,0,50,0,0,0,0,6.35,-0,0,0
96,0,6.13,0,350,0,50,0,0,0,0,6.35,0,0,0
97,0,5.91,0,350,0,50,0,0,0,0,5.91,-0,0,0
98,0,5.69,0,350,0,50,0,0,0,0,5.69,-0,0,0
99,0,5.79,0,350,0,50,0,0,0,0,5.79,-0,0,0
100,0,5.89999,45,350,0,50,45,16.2,0,0,5.89999,-0,0,0
101,0,5.99999,45,350,0,50,45,16.2,0,0,5.99999,-0,0,0
102,0,7.08001,50,350,0,50,50,18,0,0,7.08001,-0,0,0
103,0,8.14999,70,350,0,50,70,25.2,0,0,8.14999,-0,0,0
104,155.55,9.23,70,350,70,93.2413,0,21.5677,82.9569,0,9.23,-0,70,0
105,151.7,11.39,100,350,100,80.1892,0,32.3773,67.3074,0,11.39,-0,100,0
106,5.38,13.56,100,350,0,50,100,36,1.88364,0,13.56,-0,0,0
107,26.19,15.73,100,350,100,49.2752,0,36.087,7.17782,0,15.73,-0,100,0
108,56.27,15.9,90,350,90,52.2468,0,32.1573,13.7103,0,15.9,-0,90,0
109,75.95,16.08,80,350,80,56.6138,0,28.1651,20.8154,0,16.08,-0,80,0
110,282.97,16.25,47,350,47,122.041,0,12.8569,99.0734,0,16.25,-0,47,0
111,0,15.4,53,350,0,50,53,19.08,0,0,15.4,-0,0,0
112,38.79,14.55,79,350,79,56.3155,0,27.8413,20.6872,0,14.55,-0,79,0
113,0,13.7,50,350,0,50,50,18,0,0,13.7,-0,0,0
114,0,13.44,20,350,0,50,20,7.2,0,0,13.44,-0,0,0
115,0,13.18,0,350,0,50,0,0,0,0,13.18,-0,0,0
116,0,12.92,0,350,0,50,0,0,0,0,12.92,-0,0,0
117,0,13.06,0,350,0,50,0,0,0,0,13.06,-0,0,0
118,0,13.21,0,350,0,50,0,0,0,0,13.21,-0,0,0
119,0,13.35,0,350,0,50,0,0,0,0,13.35,-0,0,0
120,0,13.27,0,350,0,50,0,0,0,0,13.35,0,0,0
121,0,13.18,0,350,0,50,0,0,0,0,13.18,-0,0,0
122,0,13.1,0,350,0,50,0,0,0,0,13.1,-0,0,0
123,0,13.03,0,350,0,50,0,0,0,0,13.03,-0,0,0
124,0,12.97,45,350,0,50,45,16.2,0,0,12.97,-0,0,0
125,0,12.9,45,350,0,50,45,16.2,0,0,12.9,-0,0,0
126,0,13.18,50,350,0,50,50,18,0,0,13.18,-0,0,0
127,0,13.46,70,350,0,50,70,25.2,0,0,13.46,-0,0,0
128,59.7,13.74,70,350,70,63.5096,0,24.0652,31.8525,0,13.74,-0,70,0
129,135.02,14.72,100,350,100,73.7676,0,33.1479,59.9465,0,14.72,-0,100,0
130,34.89,15.7,100,350,100,54.0832,0,35.51,12.2285,0,15.7,-0,100,0
131,26.12,16.68,100,350,100,49.7185,0,36.0338,7.17012,0,16.68,-0,100,0
132,32.05,16.84,90,350,90,49.4834,0,32.4558,7.82425,0,16.84,-0,90,0
133,533.57,17.01,80,350,80,121.654,0,21.9212,146.469,0,17.01,-0,80,0
134,548.98,17.17,47,350,47,204.504,0,8.20596,192.411,0,17.17,-0,47,0
135,202.78,16.23,53,350,53,135.735,0,13.6273,90.0307,0,16.23,-0,53,0
136,398.81,15.3,79,350,79,167.661,0,17.2858,212.782,0,15.3,-0,79,0
137,0,14.36,50,350,0,50,50,18,0,0,14.36,-0,0,0
138,0,13.91,20,350,0,50,20,7.2,0,0,13.91,-0,0,0
139,0,13.45,0,350,0,50,0,0,0,0,13.45,-0,0,0
140,0,13,0,350,0,50,0,0,0,0,13,-0,0,0
141,0,12.98,0,350,0,50,0,0,0,0,12.98,-0,0,0
142,0,12.96,0,350,0,50,0,0,0,0,12.96,-0,0,0
143,0,12.94,0,350,0,50,0,0,0,0,12.94,-0,0,0
144,0,12.89,0,350,0,50,0,0,0,0,12.94,0,0,0
145,0,12.84,0,350,0,50,0,0,0,0,12.84,-0,0,0
146,0,12.79,0,350,0,50,0,0,0,0,12.79,-0,0,0
147,0,12.97,0,350,0,50,0,0,0,0,12.97,-0,0,0
148,0,13.15,45,350,0,50,45,16.2,0,0,13.15,-0,0,0
149,0,13.33,45,350,0,50,45,16.2,0,0,13.33,-0,0,0
150,0,13.57,50,350,0,50,50,18,0,0,13.57,-0,0,0
151,0,13.82,70,350,0,50,70,25.2,0,0,13.82,-0,0,0
152,23.8,14.06,70,350,70,52.2775,0,25.0087,12.7051,0,14.06,-0,70,0
153,0,14.46,100,350,0,50,100,36,0,0,14.46,-0,0,0
154,0,14.87,100,350,0,50,100,36,0,0,14.87,-0,0,0
155,0,15.28,100,350,0,50,100,36,0,0,15.28,-0,0,0
156,147.7,15,90,350,90,63.0433,0,30.9913,36.1435,0,15,-0,90,0
157,136.39,14.72,80,350,80,66.8093,0,27.1863,37.5137,0,14.72,-0,80,0
158,259.1,14.44,47,350,47,117.731,0,13.1,90.9285,0,14.44,-0,47,0
159,521.26,14.01,53,350,53,218.126,0,8.38717,231.619,0,14.01,-0,53,0
160,10.77,13.57,79,350,79,70.6808,0,26.4795,5.74931,0,13.57,-0,79,0
161,0,13.14,50,350,0,50,50,18,0,0,13.14,-0,0,0
162,0,12.85,20,350,0,50,20,7.2,0,0,12.85,-0,0,0
163,0,12.55,0,350,0,50,0,0,0,0,12.55,-0,0,0
164,0,12.26,0,350,0,50,0,0,0,0,12.26,-0,0,0
165,0,12.31,0,350,0,50,0,0,0,0,12.31,-0,0,0
166,0,12.37,0,350,0,50,0,0,0,0,12.37,-0,0,0
167,0,12.42,0,350,0,50,0,0,0,0,12.42,-0,0,0
168,0,12.29,0,350,0,50,0,0,0,0,12.42,0,0,0
169,0,12.17,0,350,0,50,0,0,0,0,12.17,-0,0,0
170,0,12.04,0,350,0,50,0,0,0,0,12.04,-0,0,0
171,0,11.96,0,350,0,50,0,0,0,0,11.96,-0,0,0
172,0,11.89,45,350,0,50,45,16.2,0,0,11.89,-0,0,0
173,0,11.81,45,350,0,50,45,16.2,0,0,11.81,-0,0,0
174,0,12.21,50,350,0,50,50,18,0,0,12.21,-0,0,0
175,0,12.62,70,350,0,50,70,25.2,0,0,12.62,-0,0,0
176,414.65,13.02,70,350,70,172.117,0,14.9422,221.49,0,13.02,-0,70,0
177,638.91,14.44,100,350,100,181.283,0,20.246,284.171,0,14.44,-0,100,0
178,651.29,15.87,100,350,100,158.908,0,22.931,228.913,0,15.87,-0,100,0
179,17.3,17.3,100,350,100,60.1166,0,34.786,4.76942,0,17.3,-0,100,0
180,900.84,17,90,350,90,151.1,0,21.4812,221.065,0,17,-0,90,0
181,585.67,16.7,80,350,80,142.353,0,19.9341,161.463,0,16.7,-0,80,0
182,561.26,16.4,47,350,47,211.88,0,7.78998,197.27,0,16.4,-0,47,0
183,81.64,15.47,53,350,53,99.0532,0,15.9602,36.3114,0,15.47,-0,53,0
184,0,14.55,79,350,0,50,79,28.44,0,0,14.55,-0,0,0
185,0,13.62,50,350,0,50,50,18,0,0,13.62,-0,0,0
186,0,13.14,20,350,0,50,20,7.2,0,0,13.14,-0,0,0
187,0,12.66,0,350,0,50,0,0,0,0,12.66,-0,0,0
188,0,12.18,0,350,0,50,0,0,0,0,12.18,-0,0,0
189,0,12.14,0,350,0,50,0,0,0,0,12.14,-0,0,0
190,0,12.11,0,350,0,50,0,0,0,0,12.11,-0,0,0
191,0,12.07,0,350,0,50,0,0,0,0,12.07,-0,0,0
192,0,11.55,0,350,0,50,0,0,0,0,12.07,0,0,0
193,0,11.03,0,350,0,50,0,0,0,0,11.03,-0,0,0
194,0,10.51,0,350,0,50,0,0,0,0,10.51,-0,0,0
195,0,10.39,0,350,0,50,0,0,0,0,10.39,-0,0,0
196,0,10.28,45,350,0,50,45,16.2,0,0,10.28,-0,0,0
197,0,10.16,45,350,0,50,45,16.2,0,0,10.16,-0,0,0
198,0,10.58,50,350,0,50,50,18,0,0,10.58,-0,0,0
199,0,11,70,350,0,50,70,25.2,0,0,11,-0,0,0
200,447.61,11.42,70,350,70,182.066,0,14.1065,239.269,0,11.42,-0,70,0
201,154.12,11.96,100,350,100,90.3721,0,31.1553,68.6252,0,11.96,-0,100,0
202,207.53,12.51,100,350,100,82.3777,0,32.1147,73.0707,0,12.51,-0,100,0
203,344.87,13.06,100,350,100,91.1513,0,31.0618,95.3325,0,13.06,-0,100,0
204,53.48,13.29,90,350,90,56.9868,0,31.6454,13.1666,0,13.29,-0,90,0
205,44.38,13.53,80,350,80,52.7333,0,28.5376,12.268,0,13.53,-0,80,0
206,457.36,13.77,47,350,47,168.372,0,10.2438,161.035,0,13.77,-0,47,0
207,173.93,13.17,53,350,53,120.533,0,14.5941,77.446,0,13.17,-0,53,0
208,83.63,12.58,79,350,79,78.3843,0,25.7492,44.7043,0,12.58,-0,79,0
209,0,11.98,50,350,0,50,50,18,0,0,11.98,-0,0,0
210,0,10.98,20,350,0,50,20,7.2,0,0,10.98,-0,0,0
211,0,9.97,0,350,0,50,0,0,0,0,9.97,-0,0,0
212,0,8.97,0,350,0,50,0,0,0,0,8.97,-0,0,0
213,0,8.36999,0,350,0,50,0,0,0,0,8.36999,-0,0,0
214,0,7.77001,0,350,0,50,0,0,0,0,7.77001,-0,0,0
215,0,7.17001,0,350,0,50,0,0,0,0,7.17001,-0,0,0
216,0,6.94,0,350,0,50,0,0,0,0,7.17001,0,0,0
217,0,6.70999,0,350,0,50,0,0,0,0,6.70999,-0,0,0
218,0,6.48,0,350,0,50,0,0,0,0,6.48,-0,0,0
219,0,6.17999,0,350,0,50,0,0,0,0,6.17999,-0,0,0
220,0,5.88,45,350,0,50,45,16.2,0,0,5.88,-0,0,0
221,0,5.58001,45,350,0,50,45,16.2,0,0,5.58001,-0,0,0
222,0,6.14001,50,350,0,50,50,18,0,0,6.14001,-0,0,0
223,0,6.69,70,350,0,50,70,25.2,0,0,6.69,-0,0,0
224,315.84,7.24999,70,350,70,142.501,0,17.4299,168.971,0,7.24999,-0,70,0
225,355.56,9.02001,100,350,100,124.799,0,27.0242,158.521,0,9.02001,-0,100,0
226,323.47,10.8,100,350,100,103.833,0,29.54,114.12,0,10.8,-0,100,0
227,489.64,12.58,100,350,100,110.892,0,28.6929,135.763,0,12.58,-0,100,0
228,935.08,13.01,90,350,90,161.587,0,20.3486,231.061,0,13.01,-0,90,0
229,897.33,13.45,80,350,80,187.931,0,15.5587,248.804,0,13.45,-0,80,0
